# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YBL007C	SLA1	0.805293	0.882911	0.267	0.239	11	8
YBL008W	HIR1	-0.381548	-0.242871	0.254	0.282	10	3
YBL008W-A		-2.485780	-2.387109	0.369	0.483	3	0
YBL009W	ALK2	-0.376904	-0.549675	0.268	0.384	10	2
YBL010C		-0.422331	-0.299232	0.235	0.308	10	3
YBL011W	SCT1	0.321655	0.407764	0.232	0.236	11	5
YBL013W	FMT1	-0.860223	-0.530543	0.289	0.273	6	3
YBL014C	RRN6	-0.350809	-0.610946	0.271	0.329	10	1
YBL015W	ACH1	0.295126	0.512539	0.265	0.215	11	8
YBL016W	FUS3	0.576013	0.826927	0.262	0.249	12	6
YBL017C	PEP1	0.713873	0.861476	0.264	0.220	12	8
YBL018C	POP8	0.028275	0.096020	0.228	0.313	8	2
YBL019W	APN2	-0.906106	-0.819443	0.280	0.347	6	1
YBL020W	RFT1	0.007972	-0.383904	0.267	0.388	11	1
YBL021C	HAP3	-0.093122	-0.008545	0.228	0.271	10	2
YBL022C	PIM1	0.545593	0.618460	0.245	0.207	11	7
YBL023C	MCM2	-0.118819	0.242566	0.229	0.216	11	6
YBL024W	NCL1	0.617302	1.129108	0.265	0.258	10	9
YBL025W	RRN10	-0.334597	-0.539715	0.284	0.359	11	1
YBL026W	LSM2	0.590028	0.617344	0.255	0.232	9	4
YBL027W	RPL19B	2.620006	2.332233	0.262	0.223	12	4
YBL028C		0.821473	0.989532	0.242	0.222	11	5
YBL029C-A		-0.454428	0.096366	0.290	0.196	5	4
YBL029W		-0.841110	-0.935634	0.305	0.374	8	0
YBL030C	PET9	1.417873	0.958619	0.232	0.360	12	5
YBL031W	SHE1	-0.649015	-0.720871	0.294	0.316	10	2
YBL032W	HEK2	0.883412	1.201950	0.268	0.252	11	6
YBL033C	RIB1	0.409798	0.719372	0.258	0.229	11	6
YBL034C	STU1	-0.457942	-0.352489	0.289	0.317	8	5
YBL035C	POL12	0.039619	0.312825	0.247	0.223	10	5
YBL036C		0.629731	0.805241	0.258	0.239	10	7
YBL037W	APL3	-0.152178	0.137867	0.255	0.248	9	5
YBL038W	MRPL16	0.391806	0.257760	0.274	0.266	12	3
YBL039C	URA7	1.380233	1.638536	0.266	0.231	12	8
YBL039W-B		-1.472535	-1.375030	0.353	0.412	4	1
YBL040C	ERD2	0.917070	1.154262	0.266	0.266	12	3
YBL041W	PRE7	1.056052	0.602936	0.274	0.373	12	4
YBL042C	FUI1	0.506639	0.684695	0.281	0.262	11	3
YBL043W	ECM13	-0.964447	-1.077099	0.266	0.431	11	0
YBL044W		-1.962532	-1.927497	0.325	0.476	6	0
YBL045C	COR1	0.969182	1.122794	0.251	0.221	11	10
YBL046W	PSY4	-0.056445	0.197537	0.240	0.267	10	4
YBL047C	EDE1	0.861826	1.049434	0.272	0.251	12	8
YBL049W	MOH1	-1.183967	-1.393317	0.305	0.415	9	0
YBL050W	SEC17	0.704288	0.393425	0.276	0.355	12	5
YBL051C	PIN4	0.819849	0.664210	0.257	0.216	12	6
YBL052C	SAS3	-0.201620	-0.445394	0.279	0.420	9	2
YBL054W	TOD6	-0.159385	-0.137436	0.280	0.275	8	4
YBL055C		0.065071	0.078971	0.243	0.211	11	4
YBL056W	PTC3	0.916466	1.091160	0.235	0.268	11	6
YBL057C	PTH2	0.331551	0.266440	0.239	0.244	11	4
YBL058W	SHP1	0.897881	0.846665	0.255	0.236	11	8
YBL059C-A	CMC2	-0.995528	-0.680242	0.298	0.316	4	4
YBL059W		-0.460823	-0.409008	0.245	0.291	9	2
YBL060W	YEL1	-0.390409	-0.565154	0.253	0.379	11	2
YBL061C	SKT5	0.374450	0.503858	0.246	0.219	9	6
YBL063W	KIP1	-0.632797	-0.766497	0.285	0.312	9	3
YBL064C	PRX1	0.608411	0.776772	0.289	0.265	10	7
YBL066C	SEF1	-0.635059	-0.728907	0.272	0.338	9	3
YBL067C	UBP13	0.016846	-0.299638	0.237	0.314	11	3
YBL068W	PRS4	0.780129	0.873592	0.231	0.222	12	6
YBL069W	AST1	-0.076329	0.009733	0.248	0.280	9	4
YBL071C-B		-2.175427	-2.155253	0.402	0.586	3	0
YBL071W-A	KTI11	-0.097267	0.679827	0.267	0.237	5	2
YBL072C	RPS8A	2.276008	2.013517	0.304	0.237	10	5
YBL074C	AAR2	-0.689929	-0.200823	0.272	0.298	8	3
YBL075C	SSA3	-0.210869	0.197806	0.251	0.293	11	5
YBL076C	ILS1	1.588461	1.817527	0.234	0.191	11	9
YBL078C	ATG8	0.068177	0.100103	0.240	0.316	10	3
YBL079W	NUP170	0.362236	0.443121	0.250	0.242	11	6
YBL080C	PET112	-0.792866	-0.477394	0.331	0.337	8	3
YBL081W		0.192856	-0.140505	0.295	0.366	10	1
YBL082C	ALG3	-0.115815	-0.337902	0.294	0.374	11	2
YBL084C	CDC27	-0.585665	-0.222963	0.287	0.207	8	5
YBL085W	BOI1	0.368587	0.320360	0.262	0.234	11	8
YBL086C		-0.414452	-0.393308	0.275	0.316	10	3
YBL087C	RPL23A	1.774369	1.315388	0.303	0.277	10	4
YBL088C	TEL1	-0.678768	-0.651276	0.288	0.337	10	3
YBL089W	AVT5	-0.693519	-0.817897	0.307	0.381	8	1
YBL090W	MRP21	-0.013638	-0.123524	0.262	0.296	10	2
YBL091C	MAP2	1.022095	0.595929	0.262	0.235	12	8
YBL091C-A	SCS22	-0.417208	-0.471261	0.264	0.281	8	2
YBL092W	RPL32	2.505965	1.801776	0.268	0.300	12	7
YBL093C	ROX3	0.477814	0.231894	0.244	0.247	10	4
YBL095W		-0.438421	-0.360681	0.266	0.316	9	3
YBL097W	BRN1	-1.109023	-0.637511	0.331	0.336	7	3
YBL098W	BNA4	-0.447985	-0.321528	0.309	0.303	9	3
YBL099W	ATP1	1.543591	1.739230	0.266	0.240	12	10
YBL100W-A		NA	NA	NA	NA	0	0
YBL100W-B		-2.660906	-2.543329	0.433	0.441	1	0
YBL100W-C		-2.809027	-2.672275	0.412	0.458	2	0
YBL101C	ECM21	0.094338	0.068000	0.244	0.224	11	6
YBL102W	SFT2	0.415918	0.235954	0.252	0.222	11	4
YBL103C	RTG3	-0.289613	-0.187618	0.221	0.283	11	3
YBL104C	SEA4	-0.179940	-0.089556	0.257	0.238	11	4
YBL105C	PKC1	0.008085	0.220324	0.269	0.254	10	5
YBL106C	SRO77	-0.997018	-1.105419	0.283	0.428	9	1
YBL107C	MIX23	0.075643	-0.173619	0.225	0.296	11	2
YBL108C-A	PAU9	-2.999408	-2.879413	0.396	0.452	1	0
YBL111C		-1.352008	-1.063123	0.317	0.336	5	1
YBL112C		-1.501060	-1.640738	0.340	0.436	6	0
YBL113C		-0.278700	-0.621245	0.294	0.354	8	0
YBR001C	NTH2	-0.207315	-0.014287	0.250	0.325	10	5
YBR002C	RER2	0.288136	0.687886	0.251	0.234	10	5
YBR003W	COQ1	0.068367	0.231200	0.284	0.220	10	5
YBR004C	GPI18	-0.043658	-0.458313	0.275	0.338	12	0
YBR005W	RCR1	0.000799	-0.135204	0.249	0.249	11	1
YBR006W	UGA2	-0.587771	-0.460173	0.279	0.371	9	3
YBR007C	DSF2	-0.346607	-0.350183	0.267	0.347	11	4
YBR008C	FLR1	-0.485711	-0.751361	0.316	0.412	9	0
YBR009C	HHF1	1.916559	1.988635	0.254	0.245	10	4
YBR010W	HHT1	2.143820	1.585464	0.314	0.334	11	2
YBR011C	IPP1	2.269267	2.114445	0.254	0.222	12	11
YBR012W-A		-1.521241	-1.494606	0.340	0.479	3	0
YBR012W-B		-2.017455	-1.988552	0.350	0.464	3	0
YBR013C		-0.469147	-0.712803	0.311	0.428	9	1
YBR014C	GRX7	0.215379	0.112922	0.285	0.330	10	5
YBR015C	MNN2	0.457902	0.639107	0.269	0.231	10	7
YBR016W		0.814005	0.379486	0.272	0.218	11	5
YBR017C	KAP104	0.409043	0.683600	0.249	0.236	11	7
YBR018C	GAL7	-1.588267	-1.510710	0.337	0.430	6	1
YBR019C	GAL10	-1.323275	-1.344446	0.263	0.404	9	0
YBR020W	GAL1	-1.244588	-1.309530	0.299	0.433	9	0
YBR021W	FUR4	-0.618721	-0.690214	0.274	0.350	9	2
YBR022W	POA1	-0.098750	0.013037	0.264	0.285	11	3
YBR023C	CHS3	0.433521	0.474552	0.240	0.233	12	5
YBR024W	SCO2	0.001567	-0.035935	0.261	0.317	12	3
YBR025C	OLA1	2.026902	2.010667	0.256	0.250	12	9
YBR026C	ETR1	0.238998	0.318109	0.259	0.296	11	7
YBR028C	YPK3	0.130588	0.341482	0.267	0.236	9	3
YBR029C	CDS1	0.389363	0.276787	0.255	0.332	12	3
YBR030W	RKM3	-0.415105	0.011739	0.264	0.290	9	4
YBR031W	RPL4A	1.897173	1.391182	0.257	0.386	10	7
YBR033W	EDS1	-1.070198	-1.260234	0.298	0.385	9	0
YBR034C	HMT1	1.046760	1.226395	0.260	0.229	12	7
YBR035C	PDX3	0.694451	0.499614	0.284	0.395	12	6
YBR036C	CSG2	0.825900	0.796907	0.244	0.273	12	4
YBR037C	SCO1	-0.180358	-0.020038	0.249	0.272	11	4
YBR038W	CHS2	0.002629	-0.273232	0.286	0.344	11	3
YBR039W	ATP3	1.068719	1.369053	0.218	0.208	11	8
YBR040W	FIG1	-1.514494	-1.531313	0.314	0.463	7	0
YBR041W	FAT1	0.515869	0.609052	0.270	0.285	12	4
YBR042C	CST26	0.163642	0.012543	0.271	0.290	12	4
YBR043C	QDR3	-0.129586	-0.340332	0.249	0.340	12	3
