# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
YBR193C	MED8	4.2691	428.2767	8	6
YBR194W	AIM4	4.6744	889.8438	10	2
YBR195C	MSI1	1.3234	422.2675	10	4
YBR196C	PGI1	66.1464	149033.3168	12	10
YBR196C-A		1.1518	58.0280	4	0
YBR196C-B		0.3524	11.5169	4	0
YBR197C		1.7833	260.1788	10	3
YBR198C	TAF5	6.1815	660.0388	9	5
YBR199W	KTR4	8.7292	2929.7318	10	5
YBR200W	BEM1	3.9856	768.6546	8	5
YBR200W-A		0.0853	1.7989	3	0
YBR201C-A		0.3522	9.3090	4	0
YBR201W	DER1	2.7425	814.9117	9	3
YBR202W	MCM7	4.4804	2521.3334	10	5
YBR203W	COS111	0.7417	60.1567	9	0
YBR204C	LDH1	2.0147	260.0563	10	2
YBR205W	KTR3	6.3525	2715.7022	10	7
YBR207W	FTH1	6.7666	2892.7801	11	4
YBR208C	DUR1,2	2.9533	358.4444	10	7
YBR210W	ERV15	1.6400	1678.1705	11	0
YBR211C	AME1	3.5935	590.3585	9	3
YBR212W	NGR1	6.2663	1105.1128	12	6
YBR213W	MET8	0.8405	214.6538	11	2
YBR214W	SDS24	5.3262	1914.1936	11	9
YBR215W	HPC2	1.0675	294.3266	10	3
YBR216C	YBP1	4.8592	405.0584	11	5
YBR217W	ATG12	1.7605	408.4717	10	0
YBR218C	PYC2	12.2397	3324.5949	10	7
YBR219C		4.7025	556.5084	8	0
YBR220C		0.8465	187.9438	9	1
YBR221C	PDB1	24.7110	27900.6844	12	9
YBR221W-A		0.0701	1.9944	3	0
YBR222C	PCS60	14.2063	2922.4717	9	7
YBR223C	TDP1	1.7654	160.4073	9	2
YBR225W		2.5608	262.6446	9	3
YBR227C	MCX1	6.6365	1100.6901	7	6
YBR228W	SLX1	2.5582	126.0381	10	0
YBR229C	ROT2	3.4829	1287.6917	11	3
YBR230C	OM14	4.5865	855.3292	10	5
YBR230W-A		0.7201	134.7939	4	0
YBR231C	SWC5	4.2621	558.7114	11	3
YBR233W	PBP2	1.8970	651.3712	10	3
YBR233W-A	DAD3	1.8285	186.9119	5	5
YBR234C	ARC40	4.1701	600.3337	11	5
YBR235W	VHC1	2.9307	441.6410	11	2
YBR236C	ABD1	3.7164	1589.1470	11	4
YBR237W	PRP5	2.2486	477.3548	10	4
YBR238C		6.5732	1655.6826	10	5
YBR239C	ERT1	0.9520	188.9428	11	2
YBR240C	THI2	0.5826	18.3455	5	0
YBR241C		2.4027	266.8766	11	2
YBR242W		6.4230	4193.2462	11	5
YBR243C	ALG7	2.4366	493.7515	11	2
YBR244W	GPX2	7.3932	4754.7151	11	6
YBR245C	ISW1	2.9987	746.1751	11	8
YBR246W	RRT2	2.2725	1157.9342	11	5
YBR247C	ENP1	11.5580	2540.1131	11	6
YBR248C	HIS7	14.9475	5210.6147	11	9
YBR249C	ARO4	25.3731	31877.8883	12	8
YBR250W	SPO23	0.8617	38.2431	8	1
YBR251W	MRPS5	3.2669	613.0608	10	4
YBR252W	DUT1	7.8650	6214.7796	11	6
YBR253W	SRB6	4.9213	504.6166	10	4
YBR254C	TRS20	6.5275	840.0338	11	3
YBR255C-A		0.5116	81.9719	5	2
YBR255W	MTC4	1.9438	333.6349	9	2
YBR256C	RIB5	7.9635	4214.3793	12	5
YBR257W	POP4	1.1610	163.0808	9	1
YBR258C	SHG1	2.2581	497.2524	10	3
YBR259W		0.8390	96.4371	9	0
YBR260C	RGD1	5.7979	440.1337	10	6
YBR261C	TAE1	3.6221	1403.8598	11	5
YBR262C	MIC12	3.1327	501.2987	10	4
YBR263W	SHM1	11.2611	9948.2685	10	9
YBR264C	YPT10	2.8457	316.2745	9	3
YBR265W	TSC10	4.1008	860.4903	11	5
YBR267W	REI1	8.0170	1729.8021	11	5
YBR268W	MRPL37	7.3830	2764.6750	12	4
YBR269C	SDH8	3.1274	1337.9348	11	3
YBR270C	BIT2	0.8180	98.3426	10	0
YBR271W	EFM2	2.8890	530.9961	10	3
YBR272C	HSM3	2.5111	686.5129	9	4
YBR273C	UBX7	3.5390	377.9445	11	5
YBR274W	CHK1	2.8735	197.8966	10	3
YBR275C	RIF1	1.6488	153.6023	10	3
YBR276C	PPS1	1.8458	1623.0359	10	1
YBR278W	DPB3	1.9291	452.9702	11	3
YBR279W	PAF1	6.1819	3059.7453	11	6
YBR280C	SAF1	1.8216	141.5300	11	3
YBR281C	DUG2	2.5257	1051.2558	11	5
YBR282W	MRPL27	3.6898	1316.4886	12	5
YBR283C	SSH1	6.6760	3615.5770	11	5
YBR284W		0.3689	30.8503	7	0
YBR285W		0.5300	76.1296	8	0
YBR286W	APE3	18.9053	31057.3002	12	8
YBR287W		5.8033	894.8827	12	4
