SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
YAR015W,0.296174152,-1.469017667,-1.086699754,-0.959641718,-0.878044333,-0.497569333,1.380435771,0.650757686,ADE1
YAR018C,-3.493585023,-3.218327362,-1.987267017,-0.65379487,-0.340607465,0.773370303,0.725787019,1.46632991,KIN3
YAR019C,0.243745662,-0.352198395,-0.123324589,-0.214319121,-0.730503344,0.084888898,0.475678851,0.26141431,CDC15
YAR019W-A,1.072182216,-1.328591825,-0.848262866,0.074709566,-0.58363344,-0.559917371,0.588946015,0.057776331,NA
YAR020C,-1.152951923,-0.669075547,0.611944604,-0.337869639,-0.798843422,0.315327598,0.923622602,-0.174811357,PAU7
YAR023C,0.224389719,-0.780125762,-0.214895326,-0.044970325,0.226079388,0.467563703,0.209092986,-0.493912031,NA
YAR027W,-1.111050029,-0.184746674,0.133432452,-0.069774494,0.459517906,0.446705671,0.197276612,-0.467905544,UIP3
YAR028W,-1.907107112,-1.034195719,-0.242495736,-0.041145364,0.257822449,1.13962938,0.126816186,-0.09369079,NA
YAR029W,-1.262288289,-1.046163711,-0.330032895,-0.020823407,0.695090282,0.640229024,0.00280919,0.186708381,NA
YAR030C,-2.082044714,-1.377567233,-0.170790824,0.126791579,0.207652273,0.76476499,-0.249158374,0.76845724,NA
YAR031W,-0.489989915,-1.108083851,-0.545903287,0.127608457,-0.281813508,0.21337652,0.582066975,0.648621138,PRM9
YAR033W,-0.552236368,-0.731416722,-0.343636356,-0.127483714,0.318556769,0.742798247,0.274091256,-0.18030979,MST28
YAR035C-A,NA,NA,-1.675846304,-1.410657013,-1.277073859,-1.4823927669999999,1.461363122,1.920928429,NA
YAR035W,0.006764407,-0.631665649,-0.206161151,0.259262652,-0.348539825,-1.095773755,1.002258328,0.04231516,YAT1
YAR042W,-0.246468715,-0.906329345,-0.201364434,0.016743264,-0.444909595,-0.256090282,0.80636017,0.507234405,SWH1
YAR047C,0.855275553,-0.404016451,-0.453441668,-1.296033771,-0.952079369,-0.056894274,0.842730299,0.036949513,NA
YAR050W,0.092193698,-0.949626477,-0.138236042,-0.345927414,-0.627698383,-0.082893008,0.865788214,0.386376803,FLO1
YAR053W,-1.384651948,-0.590543533,0.09111291,-0.04460168,0.484722723,0.249437682,0.301299936,0.134696192,NA
YAR060C,-0.289702356,-0.574431833,-0.627871092,-0.72935241,-0.429792128,1.007028979,0.646460905,-0.085262604,NA
YAR061W,0.276047498,-0.932336227,-0.261204341,-0.16045451,-0.78932851,0.10669307,0.879908554,0.057075138,NA
YAR064W,-0.538265124,-0.656262334,0.318934275,-0.07952034,NA,0.863016507,0.858720638,-0.233050903,NA
YAR066W,0.58529805,-1.314897893,-0.551132239,0.291610138,0.439989609,-0.009089463,-0.003023463,-0.246418155,NA
YAR068W,0.749900892,-0.847628718,NA,-0.601096943,-0.325878882,0.374763704,1.589252201,NA,NA
YAR069C,-0.45502868,-0.543667381,-0.980775138,-0.625961502,-1.329050104,-0.297394765,1.505480269,0.463457054,NA
YAR070C,-0.309554649,-0.006025465,-0.980490373,-0.123382416,0.658294827,0.373971686,0.694414253,-1.836100463,NA
YAR071W,0.502939986,0.637963758,0.135463417,0.224526586,0.147323573,-0.234172142,-1.350871051,-1.285635835,PHO11
YAR073W,-0.778279068,-1.20681241,-1.072270286,0.073295509,-1.217700726,0.370900352,1.108592561,0.656768392,NA
YAR075W,0.985142619,-2.84493238,-0.204928516,-0.426892392,-1.146960917,-0.297866487,0.998604878,0.009728257,NA
YBL001C,-0.726052736,-0.451628287,0.652476045,0.125460379,0.302854708,-0.110228588,-0.020230119,-0.225315109,ECM15
YBL002W,-2.335737107,-3.245441346,-1.369580707,0.250864155,0.550686174,1.041368381,0.635231274,0.061277574,HTB2
YBL003C,-5.560594613,-4.711336057,-1.557818191,0.261321024,0.978319881,1.024966182,0.806586953,-0.62537884,HTA2
YBL004W,0.456373695,0.647354167,0.111602901,-0.285813318,-0.683570354,-0.040190082,-0.942835791,0.064265667,UTP20
YBL005W,0.793405673,-0.244874628,-0.305037412,-0.137047768,-0.446950498,-0.25868987,0.114089942,0.07371048,PDR3
YBL005W-A,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL005W-B,0.53028258,-0.334468804,0.101539037,0.222407286,-0.174197495,-0.453668204,0.28284131,-0.535158322,NA
YBL006C,-0.205133256,-0.320694185,-0.006112507,0.534954091,0.124764197,-0.279686128,0.181187198,-0.25278873,LDB7
YBL006W-A,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL007C,-0.524688328,-0.476800049,-0.011922601,0.103850975,-0.189781911,-0.036907361,0.519777185,0.304159033,SLA1
YBL008W,0.077048664,-0.30580843,-0.175178987,0.047828525,-0.418538029,-0.331975092,0.388088443,0.449428267,HIR1
YBL008W-A,-0.490508642,-1.570432187,1.05947772,0.744172567,-0.55228484,-0.335054124,0.780423094,NA,NA
YBL009W,-0.61587312,-1.107013599,-0.500834612,0.163515344,0.345845366,0.389817992,0.422113244,0.183312499,ALK2
YBL010C,0.521206034,-0.369349233,0.202214033,0.392065578,0.077220323,-0.540820227,-0.484067622,-0.199821873,NA
YBL011W,0.427376563,-0.104025466,0.289711665,-0.113384852,-1.339364684,-0.09423864,-1.023924789,0.810838253,SCT1
YBL012C,-0.896255427,0.206943461,-0.049277732,0.656771785,-0.344270248,-0.606470967,0.670250169,-0.454717929,NA
YBL013W,0.065430091,-1.030222148,-0.216234134,-0.549790231,-0.824547122,-0.164239496,1.068149592,0.450209769,FMT1
YBL014C,-0.233607604,-0.060858929,0.146021738,0.243227853,-0.593973016,-0.193293725,-0.050419119,0.483231291,RRN6
YBL015W,-0.792873866,-0.64787312,0.505483074,-0.12436722,-0.162998944,0.078221739,0.494719899,0.123867101,ACH1
